Population,Rent,Rooms,City,AverageAge
8419600,3500,3,NewYork,36
3980400,2800,2,LosAngeles,35
2716000,2500,3,Chicago,34
2328000,1800,4,Houston,33
1690000,1500,3,Phoenix,32
1584000,2400,3,Philadelphia,37
1547000,1600,4,SanAntonio,34
1434000,2700,2,SanDiego,33
1341000,2000,3,Dallas,32
1040000,3000,2,SanJose,35
1010000,2200,3,Austin,31
936000,1300,4,Jacksonville,33
921000,1700,3,FortWorth,32
905000,1400,3,Columbus,33
885000,2100,3,Charlotte,31
876000,1600,3,Indianapolis,32
883000,4000,2,SanFrancisco,36
737000,3300,2,Seattle,34
716000,2500,3,Denver,32
692000,2900,2,WashingtonDC,35
670000,1900,4,Nashville,31
650000,1800,3,LasVegas,34
640000,1200,3,Detroit,37
645000,2600,2,Portland,33
650000,1300,4,OklahomaCity,34
650000,1100,4,Memphis,32
615000,1500,3,Louisville,33
590000,1400,3,Milwaukee,35
620000,2300,2,Baltimore,36
560000,1300,3,Albuquerque,34
550000,1200,3,Tucson,33
540000,1300,4,Fresno,31
520000,2100,3,Sacramento,32
510000,1400,3,Mesa,33
505000,1600,3,KansasCity,36
500000,2500,3,Atlanta,34
480000,2000,3,ColoradoSprings,31
470000,2200,3,Raleigh,32
460000,1700,3,Omaha,35
450000,3000,2,Miami,34
440000,3500,2,Oakland,36
430000,2600,2,Minneapolis,33
420000,1600,3,Tulsa,35
410000,1200,3,Cleveland,34
400000,1100,3,Wichita,32
390000,1800,3,Arlington,33
380000,1400,4,Bakersfield,34
370000,2300,2,NewOrleans,35
360000,3100,2,Anaheim,32
350000,2700,3,SantaAna,34
340000,2000,3,Tampa,31
330000,1500,3,Aurora,33
